Id_lichens,Espece_lichens,Id_arbre,Id_quadrat
3728383,autre lichen foliacé,3728361,594
3728384,Lecanora sp.,3728361,595
3728385,Phaeophyscia orbicularis (Neck.) Moberg [1977],3728361,596
3728386,Amandinea punctata/Lecidella elaeochroma,3728361,597
3728387,lichen crustacé à aspect poudreux,3728361,598
3730102,Physcia adscendens/tenella,3730099,599
3730103,Candelaria concolor (Dicks.) Stein,3730099,600
3730104,autre lichen crustacé,3730099,601
3730105,Diploicia canescens (Dicks.) A.Massal. [1852],3730099,602
3730106,Flavoparmelia caperata/soredians,3730099,603
3730107,Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt [1979],3730099,604
3730108,Physcia adscendens/tenella,3730100,605
3730109,autre lichen crustacé,3730100,606
3730110,lichen crustacé à aspect poudreux,3730100,607
3730111,Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt [1979],3730100,608
3730112,Physcia adscendens/tenella,3730101,609
3730113,Candelaria concolor (Dicks.) Stein,3730101,610
3730114,autre lichen crustacé,3730101,611
3730115,lichen crustacé à aspect poudreux,3730101,612
3730116,Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt [1979],3730101,613
3730380,Xanthoria parietina (L.) Th.Fr. [1860],3730377,614
3730381,Physcia adscendens/tenella,3730377,615
3730382,Physconia grisea (Lam.) Poelt [1965],3730377,616
3730383,Phaeophyscia orbicularis (Neck.) Moberg [1977],3730377,617
