Id_quadrat,Id_lichens,Id_arbre,Location_lichens_sur_arbre,Date_Observation
219,3651865,3651863,"['n1', 'o1', 'o2', 'e3', 'o3', 'e4', 'o4', 'e5', 'o5', '']",2020/01/02
220,3651866,3651863,"['e1', 'o1', 'n2', 'e2', 'o2', 'e3', 'e4', 'o5', '']",2020/01/02
221,3651867,3651863,"['o1', 'o3', '']",2020/01/02
222,3651868,3651863,"['s1', 'e1', 'o1', 's2', 'o2', 's5', 'o5', '']",2020/01/02
223,3651869,3651863,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2020/01/02
224,3651870,3651863,"['o1', 'e2', 'o2', 'o4', '']",2020/01/02
225,3651871,3651863,"['n1', 'n5', '']",2020/01/02
226,3651872,3651863,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2020/01/02
227,3651873,3651863,"['s1', 'e1', 'o1', 's2', 'e2', 'o2', 'n3', 's3', 'e4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2020/01/02
228,3651874,3651863,"['e1', '']",2020/01/02
229,3651879,3651863,"['e1', 'e3', '']",2020/01/02
230,3651880,3651863,"['e3', '']",2020/01/02
231,3651881,3651863,"['n1', 's1', 'n2', 's2', 'n3', 's3', 'n4', 's4', 'n5', 's5', '']",2020/01/02
232,3651882,3651863,"['n1', 's1', 'n2', 's2', 'n3', 's3', 'n4', 's4', 'n5', 's5', '']",2020/01/02
233,3651885,3651884,"['n3', '']",2020/01/03
234,3651886,3651884,"['s3', 'e5', '']",2020/01/03
235,3651887,3651884,"['o2', 's3', 'n4', 'n5', 'o5', '']",2020/01/03
236,3651888,3651884,"['n1', 's1', 'e1', 'n2', 's2', 'n3', 's3', 'o3', 'n4', 's4', 'e4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2020/01/03
237,3651889,3651884,"['o5', '']",2020/01/03
238,3651890,3651884,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'e3', 'o3', 'n4', 's4', 'e4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2020/01/03
239,3651891,3651884,"['n1', 'n2', '']",2020/01/03
240,3651892,3651884,"['n1', 's1', 'e1', 's2', 'e2', 'n3', 'e3', 'e4', 'n5', 'e5', '']",2020/01/03
241,3651893,3651884,"['n1', 's1', 'o1', 'n2', 's2', 'n3', 's3', 'e3', 'n4', 's4', 'e4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2020/01/03
242,3651894,3651884,"['n1', 'n2', 's2', 'n3', 's4', 'e4', 'e5', '']",2020/01/03
243,3651895,3651884,"['s1', 'e1', 'o1', 'n2', 's2', 'e2', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'n5', 's5', 'e5', '']",2020/01/03
244,3651896,3651884,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 'e4', 'o4', 'n5', 'e5', 'o5', '']",2020/01/03
245,3651897,3651884,"['n5', '']",2020/01/03
246,3651898,3651884,"['s1', '']",2020/01/03
