Espèce,Identifiant,Numéro nomenclatural,Numéro nomenclatural nom retenu,Spontanéité,Latitude,Longitude,Identifiant Commune,Altitude,Indicateur de fiabilité,Détermination validée sur IdentiPlante,Score IdentiPlante,Présence d'un échantillon d'herbier,ext:latitude-releve,ext:longitude-releve,ext:num_arbre,ext:id_obs_arbre
Celtis australis L.,18958279,74770.0,74770.0,5,244.19213,12.05208,375280.0,230,15,0,0.0,0,244.19218334475897,12.05138683144469,11.0,0.0
Celtis australis L. [1753],10804923,44862.0,44862.0,0,127.66825,8.927629999999999,0.0,85,9,0,0.0,0,127.655586,8.917035,6.0,0.0
Chrolechia turneri,3637455,0.0,0.0,1,45.99893,1.47011,87079.0,418,3,0,0.0,0,0.0,0.0,0.0,3637449.0
Chêne,7458572,0.0,0.0,2,93.41932,2.5712200000000003,128103.0,388,4,0,0.0,0,93.41926747392597,2.5729975804405214,3.0,0.0
Chêne américain,3653951,0.0,0.0,1,45.82265,1.2425700000000002,87085.0,272,2,0,0.0,0,45.822654,1.2426780000000002,1.0,0.0
Corylus colurna L. [1753],7487401,151444.0,151444.0,2,97.6697,4.81612,0.0,110,6,0,0.0,0,97.665032,4.8083919999999996,5.0,0.0
Crataegus monogyna Jacq.,7426411,38944.0,38944.0,2,97.61947,4.98918,188136.0,96,6,0,0.0,0,97.619502,4.989274,3.0,0.0
Diploicia canescens,14469643,238372.0,238372.0,4,195.49902000000003,8.830839999999998,368200.0,508,8,0,0.0,0,0.0,0.0,0.0,7234782.0
Diploicia canescens (Dicks.) A.Massal. [1852],75319091,1191860.0,1191860.0,20,967.8471300000001,39.79851999999999,1133281.0,1575,48,0,0.0,0,0.0,0.0,0.0,75318920.0
Erable,37691625,0.0,0.0,10,488.98858,23.278129999999997,793164.0,531,20,0,0.0,0,488.9761230000001,23.305613,19.0,0.0
Erable sycomore,14936886,0.0,0.0,4,195.79098,9.25751,276234.0,112,8,0,0.0,0,195.77702699999998,9.285857,7.0,0.0
Evernia prunastri,87633636,1417272.0,1417272.0,24,1108.34171,78.65137999999999,1099287.0,9276,56,0,4.0,0,0.0,0.0,0.0,73022705.0
Evernia prunastri (L.) Ach. [1810],102128182,1594431.0,1594431.0,27,1242.1521399999997,74.66036000000003,1702631.0,11112,81,0,0.0,0,0.0,0.0,0.0,102127646.0
Fagus sylvatica L.,15026726,300520.0,300520.0,4,177.99625000000003,3.07864,272435.0,1840,9,0,0.0,0,177.9945051489388,3.0755660920570564,8.0,0.0
Fagus sylvatica subsp. sylvatica,11231709,79335.0,225390.0,3,146.49828,7.215120000000001,225168.0,153,6,0,0.0,0,146.498285,7.215131999999999,3.0,0.0
